aircraft_type,V2_(IAS)_Knots,Toff_Distance_m,MTOW_kg,Initial_Climb_(FL50)_IAS_Knots,Initial_Climb_(FL50)_ROC_ft/min,Climb_(FL150)_IAS_Knots,Climb_(FL150)_ROC_ft/min,Climb_(FL240)_IAS_Knots,Climb_(FL240)_ROC_ft/min,Mach_ROC_ft/min,Cruise_TAS_knots,Cruise_Ceiling_ft,Range_NM,Initial_Descent_(FL240)_ROD_ft/min,Initial_Descent_(FL100)_IAS_Knots,Initial_Descent_(FL100)_ROD_ft/min,Approach_IAS_knots,Approach_ROD_ft/min,MCS_knots,Vat_(IAS)_Knots,Ldg_Distance_m,Wing_Span_m,Length_m,Height_m,Engine_Thrust(KN),PAX,In_service,Tail_Height_at_OEW_ft,Wheelbase_ft,Cockpit_to_Main_Gear_ft,Main_Gear_Width_ft,Parking_Area_ft2,NOISE_LATERAL_dB,NOISE_FLYOVER_dB,NOISE_APP_dB,OEW_kg,Wing Area_m2,Unnamed: 0,GSDB No,B/P Ratio,Pressure Ratio,Rated Thrust (kN),HC EI T/O (g/kg),HC EI C/O (g/kg),HC EI App (g/kg),HC EI Idle (g/kg),HC Number Test,HC Number Eng,HC Dp/Foo Avg (g/kN),HC Dp/Foo Sigma (g/kN),HC Dp/Foo Min (g/kN),HC Dp/Foo Max (g/kN),HC Dp/Foo Characteristic (g/kN),HC Dp/Foo Characteristic (% of Reg limit) ,HC LTO Total mass (g),CO EI T/O (g/kg),CO EI C/O (g/kg),CO EI App (g/kg),CO EI Idle (g/kg),CO Number Test,CO Number Eng,CO Dp/Foo Avg (g/kN),CO Dp/Foo Sigma (g/kN),CO Dp/Foo Min (g/kN),CO Dp/Foo Max (g/KN),CO Dp/Foo Characteristic (g/kN),CO Dp/Foo Characteristic (% of Reg limit) ,CO LTO Total Mass (g),NOx EI T/O (g/kg),NOx EI C/O (g/kg),NOx EI App (g/kg),NOx EI Idle (g/kg),NOx Number Test,NOx Number Eng,NOx Dp/Foo Avg (g/kN),NOx Dp/Foo Sigma (g/kN),NOx Dp/Foo Min (g/kN),NOx Dp/Foo Max (g/kN),NOx Dp/Foo Characteristic (g/kN),NOx Dp/Foo Characteristic (% of original standard) ,NOx Dp/Foo Characteristic (% of CAEP/2 standard),NOx Dp/Foo Characteristic (% of CAEP/4 standard),NOx Dp/Foo Characteristic (% of CAEP/6 standard),NOx Dp/Foo Characteristic (% of CAEP/8 standard),NOx LTO Total mass (g),SN T/O,SN C/O,SN App,SN Idle,SN Number Test,SN Number Eng,SN Max,SN Sigma,SN Range Min,SN Range Max,SN Characteristic,SN Characteristic (% of Reg limit),Fuel H/C Ratio Min,Fuel H/C Ratio Max,Fuel Arom Min (%),Fuel Arom Max (%),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),Humidity Min (kg/kg),Humidity Max (kg/kg),Eng Type,Engine_Name,Fuel Spec,Manufacturer_x,Manufacturer_y,RECAT-EU,Type_of_Aircraft,L/D
A20N,145,1951,79000,175,2200,290,2000,290,1500,1000,450,39000,3500,1000,290,3000,250,1500,210,135,1650,36,38,12,241,150,2020,40,42,50,29,16358,-1.165226103,-1.079099313,-0.985742651,44300,124,172,19,11.1,33.33333333,120.6,0.02,0.02,0.04,0.286666667,4,2,0.373333333,0.05,0.323333333,0.423333333,0.483333333,2.466666667,45,0.233333333,0.263333333,2.68,21.55333333,4,2,26.68333333,1.333333333,25.07333333,28.00333333,30.4,25.76666667,3216,26.79,12.64,8.723333333,4.616666667,4,2,27.41333333,1.24,25.87,28.63333333,30.14666667,28.23333333,35.33333333,40.93333333,46,53.16666667,3307.333333,1.3,1.17,1.31,1.25,4,2,1.573333333,0.15,1.47,1.82,1.846666667,8.2,1.9,1.9,16.5,16.5,0.859,0.708333333,0.243333333,0.09,328,97.8,98.8,274.6,279.8,0.002,0.0032,TF,LEAP-1A26/26E1,Jet A,AIRBUS,CFM International,Upper Medium,L2J,18
A21N,145,2150,97000,175,2000,290,1500,290,1200,1000,450,39000,4000,1500,290,2500,250,1300,210,140,1850,36,45,12,295,180,2017,40,56,64,29,19253,-0.70827469,-0.62633037,-0.34977965,50000,128,176.5,20,10.7,35.5,130.3,0.04,0.02,0.04,0.25,4,2,0.33,0.04,0.28,0.37,0.43,2.2,43,0.27,0.23,2.21,20.3,4,2,24.26,1.21,22.82,25.46,27.64,23.4,3150,49.48,21.03,9.27,4.72,4,2,41.44,1.85,39.23,43.27,45.57,41.1,51.3,58.4,65.1,74.5,5396,1.105,1.17,1.31,1.25,4,2,1.56,0.15,1.47,1.82,1.83,8.3,1.9,1.9,16.5,16.5,0.946,0.777,0.261,0.094,352,97.8,98.8,274.6,279.8,0.002,0.0032,TF,LEAP-1A29,Jet A,AIRBUS,CFM International,Upper Medium,L2J,18
A310,160,2290,150000,190,2500,260,3000,260,2800,1500,480,40000,5100,1500,290,2000,240,1000,220,139,1490,44,47,16,466,220,1995,52,50,64,36,24361,0.662579549,0.279207515,0.922146351,79207,219.25,287,1.333333333,5.1,27.93,233.35,0.09,0.086666667,0.2,7.706666667,3.333333333,2,9.98,0.931,9.07,10.73,13,66.23333333,2331,0.396666667,0.386666667,2.846666667,38.21,3.333333333,2,50.66,2.496666667,48.21333333,52.72666667,57.73333333,48.93333333,11822.66667,26.06,19.92333333,10.27333333,4.116666667,3.333333333,2,41.13,0.358666667,40.77333333,41.52666667,45.23333333,47.16666667,58.96666667,71,80.7,95.8,9598.666667,6.266666667,3.733333333,2.3,3.1,3.333333333,2,6.266666667,0.876666667,5.3,7.066666667,7.333333333,39.13333333,1.94,1.94,15.3,15.3,2.128666667,1.753666667,0.583333333,0.19,757,97.47,97.93,284.3333333,295,0.007123333,0.01181,TF,CF6-80C2A2,Jet A,AIRBUS,General Electric Company,Lower Heavy,L2J,17
A319,135,1750,64000,165,2500,290,2200,290,1500,1000,450,39000,1800,1000,290,3500,230,1500,210,130,1350,34,34,12,209,124,1996,40,36,45,29,14141,-0.251323277,-0.399945899,-0.34977965,40800,124,100.5,8,6,23.1,97.9,0.03,0.03,0.08,3.55,7,3,5.31,0.55,4.68,5.7,6.2,31.6,520,0.15,0.2,4.94,41.77,7,3,64.82,2.9,61.5,66.5,70.1,59.4,6343,16.42,14.01,8.03,3.81,7,3,31.13,1.1,30.1,32.2,33,38.3,47.9,59,67,81.7,3047,9.7,8,2.1,2.1,7,3,9.7,2.1,8,12.1,10.7,44.9,1.92,1.93,16.2,17.5,0.894,0.743,0.264,0.092,343,97.6,98.5,277,293,0.0015,0.00628,TF,CFM56-5B5/3,Jet A,AIRBUS,CFM International,Upper Medium,L2J,15.5
A320,145,2190,73900,175,2500,290,2000,290,1400,1000,450,39000,2700,1000,290,3500,250,1500,210,137,1440,34,38,12,222,185,1988,40,42,50,29,16354,0.205628136,0.052823043,0.28618335,42600,124,99,8,5.7,27.3,120.1,0.02,0.02,0.05,1.92,7,3,2.61,0.36,2.21,2.93,3.05,15.6,314,0.25,0.16,3.24,32.07,7,3,44.84,2.4,42,46.6,48.5,41.1,5386,21.57,17.23,8.85,4.22,7,3,37.56,1.1,36.6,38.8,39.8,42.1,52.6,63.5,72.2,85.9,4511,13.4,9.9,2.1,2.1,7,3,13.4,4.5,8.4,16.9,14.7,65.3,1.92,1.93,16.2,17.5,1.142,0.939,0.316,0.102,407,97.6,98.5,277,293,0.0015,0.00628,TF,CFM56-5B4/3,Jet A,AIRBUS,CFM International,Upper Medium,L2J,16.3
A321,145,2210,83000,175,2500,290,2000,290,1800,1000,450,41000,2350,1000,290,2500,225,1500,210,141,1600,34,45,12,266,185,1994,40,56,64,29,19256,0.891055255,0.279207515,0.604164851,48500,128,96,8,5.4,32.6,142.3,0.05,0.02,0.05,1.1,7,3,1.43,0.26,1.15,1.67,1.67,8.5,204,0.54,0.25,2.14,25.59,7,3,33.47,2,31.2,35,36.2,30.7,4765,30.9,21.83,9.56,4.6,7,3,48.3,0.6,47.7,48.9,51.2,48.7,60.8,72,79.8,92.6,6875,16,13.4,2.1,2.1,7,3,16,6.2,8.9,20.2,17.6,81.9,1.92,1.93,16.2,17.5,1.462,1.153,0.369,0.113,478,97.6,98.5,277,293,0.0015,0.00628,TF,CFM56-5B3/3,Jet A,AIRBUS,CFM International,Upper Medium,L2J,16.5
A332,145,2300,230000,175,2000,290,2500,290,2200,1500,470,41000,6750,1000,290,3000,230,1600,200,140,1800,60,59,17,600,253,1998,60,73,87,41,41269,1.348006668,1.1847454,0.604164851,120200,361.6,705.25,8.25,5.03,36.06264698,318.2,0.116666667,0.123333333,0.225,1.8375,6,2,2.7225,0.75,1.9475,3.2575,3.585,18.325,867.75,0.2,0.3225,1.1975,18.81,6,2,26.39,5.61,22.5225,29.09,29.975,25.425,8371.5,37.275,28.185,10.455,4.9425,6,2,58.6825,2.4,57.38,60.4,65.25,58.25,72.775,82.575,91.9,104.975,18645.5,1.566666667,1.866666667,0.633333333,0.2,6,2,1.785,0.66,1.325,2.3,2.12,12.325,1.9275,1.9275,16.85,16.85,3.157,2.555,0.833,0.2725,1095.5,97.75,100.85,284.9,291.6,0.005515,0.008755,MTF,Trent 772,AVTUR,AIRBUS,Rolls-Royce plc,Upper Heavy,L2J,18
A333,145,2300,230000,175,2000,290,2000,290,1300,1000,475,41000,5650,1000,290,3000,220,1500,200,140,1700,60,64,17,600,295,1993,46,83,97,41,44474,1.348006668,1.411129871,1.240127851,122780,361.6,705.25,8.25,5.03,36.06264698,318.2,0.116666667,0.123333333,0.225,1.8375,6,2,2.7225,0.75,1.9475,3.2575,3.585,18.325,867.75,0.2,0.3225,1.1975,18.81,6,2,26.39,5.61,22.5225,29.09,29.975,25.425,8371.5,37.275,28.185,10.455,4.9425,6,2,58.6825,2.4,57.38,60.4,65.25,58.25,72.775,82.575,91.9,104.975,18645.5,1.566666667,1.866666667,0.633333333,0.2,6,2,1.785,0.66,1.325,2.3,2.12,12.325,1.9275,1.9275,16.85,16.85,3.157,2.555,0.833,0.2725,1095.5,97.75,100.85,284.9,291.6,0.005515,0.008755,MTF,Trent 772,AVTUR,AIRBUS,Rolls-Royce plc,Upper Heavy,L2J,18
A343,145,2765,275000,175,1400,290,1500,290,1000,700,490,41000,7200,1000,290,2000,250,1500,210,150,1830,60,64,17,616,295,1993,56,83,97,41,44467,1.119530961,2.090283284,0.604164851,130000,363.1,102,1,6.8,28.8,138.78,0.008,0.008,0.082,5.68,3,1,7.56,0.59,6.9,8.01,11.6,59.4,1050,0.93,0.8,1.75,34,3,1,47.2,1.71,45.4,48.8,57.9,49.1,6546,32.6,25.8,10,4.19,3,1,50.9,0.04,50.89,50.96,59,60.5,75.6,90.7,103,121.8,7077,11.1,8.5,1,1.1,3,1,11.1,1.6,9.3,12.1,14.3,66,1.95,1.95,17.3,17.3,1.308,1.076,0.3558,0.1175,466,97.77,98.11,286,295,0.0061,0.0074,MTF,CFM56-5C2,Jet A,AIRBUS,CFM International,Upper Heavy,L4J,17
A359,150,888,268000,220,3000,300,2300,300,1600,1400,490,43000,8100,1500,250,3000,240,1500,220,140,888,65,67,17,748,366,2013,57,94,99,42,49857,-0.251323277,-0.173561428,0.28618335,142400,442,799.6666667,16.66666667,9.01,41.09666667,379,,,0.01,1,5.333333333,2.666666667,1.2,0.14,1.11,1.356666667,1.446666667,7.4,453.3333333,0.39,0.39,1.186666667,21.19333333,5.333333333,2.666666667,26.38333333,2.34,24.1,28.20666667,29.02,24.63333333,10001.33333,45.32,34.31,11.23333333,4.516666667,5.333333333,2.666666667,52.81,1.153333333,51.54,53.64,56.65666667,46.36666667,57.96666667,63.56666667,69.86666667,78.33333333,20016.33333,5.6,6.4,6.933333333,1.466666667,5.333333333,2.666666667,10.17666667,2.468,7.8,12.1,11.41333333,69.36666667,1.866666667,1.866666667,17.26666667,17.26666667,2.819,2.306,0.801,0.291,1069,98.5,101.7,280,295,0.00124,0.00964,TF,Trent XWB-84,,AIRBUS,Rolls-Royce plc,Upper Heavy,L2J,19
