Airport_CODE,name_Airport,country_code_Airport,Airport_rwy_len_ft,Airport_rwy_wid_ft,Airport_latitude,Airport_longitude,Airport_elevation_ft,Airport_offset_hours,Airport_type
LTFJ,Istanbul Sabiha Gokcen,TR,11614,197,40.89433405,29.31180584,312,3,large_airport
EBBR,Brussels,BE,11936,164,50.8550018,4.35123338,184,2,large_airport
KMIA,Miami,US,13000,200,25.7741728,-80.19362,8,-4,large_airport
EGCN,Doncaster Sheffield,GB,9495,197,53.5227681,-1.1335312,55,1,closed
EIDW,Dublin,IE,10203,200,53.3493795,-6.2605593,242,1,large_airport
EGLL,London Heathrow,GB,12799,164,51.46773895,-0.45878007,83,1,large_airport
LSZH,Zurich,CH,12139,197,47.3744489,8.5410422,1416,2,large_airport
LEMD,Madrid Barajas,ES,13711,197,40.4733176,-3.5798446,1998,2,large_airport
LEMI,Region de Murcia,ES,9842,147,37.9166355,-1.4779797,632,2,medium_airport
LOWW,Vienna,AT,11811,148,48.2083537,16.3725042,600,2,large_airport
LPMA,Madeira,PT,9110,148,32.7517501,-16.98174866,192,1,large_airport
ENGM,Oslo,NO,11811,148,59.9133301,10.7389701,681,2,large_airport
LTFM,iGA Istanbul,TR,13451,196,41.249205,28.7681191,325,3,large_airport
ESSA,Stockholm Arlanda,SE,10830,148,59.6467921,17.93704433,137,2,large_airport
LFPG,Paris Charles de Gaulle,FR,13829,197,48.86749075,2.31360058,392,2,large_airport
LTBS,Mugla Dalaman,TR,9842,148,36.7672142,28.8002737,20,3,large_airport
LEAL,Alicante,ES,9842,148,38.3436365,-0.4881708,142,2,large_airport
EKCH,Copenhagen,DK,11811,148,55.6867243,12.5700724,17,2,large_airport
EGCC,Manchester,GB,10007,148,53.4794892,-2.2451148,257,1,large_airport
EGAC,Belfast City,GB,6001,148,54.596391,-5.9301829,15,1,medium_airport
LIMC,Milan Malpensa,IT,12861,197,45.6296273,8.72354747,768,2,large_airport
EDDF,Frankfurt,DE,13123,197,50.1106444,8.6820917,364,2,large_airport
LFBD,Bordeaux,FR,10171,148,44.841225,-0.5800364,162,2,large_airport
EDDH,Hamburg,DE,12028,150,53.550341,10.000654,53,2,large_airport
LPFR,Faro,PT,8169,148,37.0162727,-7.9351771,24,1,large_airport
LEBL,Barcelona,ES,10997,196,41.3828939,2.1774322,12,2,large_airport
ESNZ,Are Ostersund,SE,8202,148,63.1953787,14.49981779,1233,2,medium_airport
LEMG,Malaga,ES,10500,148,36.7213028,-4.4216366,53,2,large_airport
EKYT,Aalborg,DK,8707,148,57.0462626,9.9215263,10,2,medium_airport
EGKK,London Gatwick,GB,10883,148,51.1541082,-0.18231165,202,1,large_airport
KLAX,Los Angeles,US,12091,200,34.0536909,-118.242766,125,-7,large_airport
LPPT,Lisbon,PT,12162,148,38.7077507,-9.1365919,374,1,large_airport
EDDS,Stuttgart,DE,10974,148,48.7784485,9.1800132,1276,2,large_airport
LTAC,Ankara,TR,12303,197,39.9207759,32.8540497,3125,3,large_airport
EBLG,Liege,BE,12106,148,50.47081585,5.7735459,659,2,medium_airport
EHAM,Amsterdam,NL,12467,198,52.3730796,4.8924534,-11,2,large_airport
KBOS,Boston,US,10083,150,42.3554334,-71.060511,20,-4,large_airport
KJFK,New York JFK,US,14511,200,40.6429479,-73.77937337,13,-4,large_airport
ENCN,Kristiansand Kjevik,NO,6660,148,58.2052243,8.0771217,57,2,medium_airport
LIRF,Rome Fiumicino,IT,12801,196,41.7712145,12.2278855,13,2,large_airport
EDDB,Berlin Brandenburg,DE,13123,197,52.5162699,13.3777034,157,2,large_airport
LOWI,Innsbruck,AT,6562,148,47.2654296,11.3927685,1907,2,medium_airport
LFML,Marseille,FR,11483,148,43.2961743,5.3699525,74,2,large_airport
LSGG,Geneva,CH,12795,164,46.2017559,6.1466014,1411,2,large_airport
EDDK,Cologne/Bonn,DE,12516,197,50.86778175,7.13896099,302,2,large_airport
ENBR,Bergen,NO,9810,148,60.3943055,5.3259192,170,2,large_airport
KPHL,Philadelphia,US,12000,200,39.9527237,-75.1635262,36,-4,large_airport
KSFO,San Francisco,US,11870,200,37.7792588,-122.4193286,13,-7,large_airport
KDFW,Dallas Fort Worth,US,13401,200,32.89651945,-97.04652205,607,-5,large_airport
